OBJECTID_1;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
1120;1;0;58;12;2018;3;17;7;2;8;1;0;0;1;0;0;0;0;2;555014.0703;6039621.0284;9.849522102;54.50121105
1121;1;0;58;98;2018;3;18;3;3;2;6;0;0;1;0;0;1;0;0;562863.214;5999617.1967;9.962283018;54.140818163
1122;1;0;59;120;2018;2;17;4;3;2;6;0;0;1;0;0;0;0;0;525921.2147;6072141.7055;9.403174242;54.795786987
1123;1;0;55;16;2018;2;21;4;3;9;1;2;0;1;0;0;0;0;2;626657.002;6001821.3144;10.939273884;54.1488561
1124;1;0;55;4;2018;2;21;2;2;8;1;2;0;0;0;0;1;0;2;610919.523;5974505.704;10.688465282;53.907093106
1125;1;0;58;90;2018;3;8;5;3;0;1;0;0;1;0;0;0;0;0;546396.872;6041967.9027;9.716837924;54.523162709
1126;1;0;59;161;2018;2;8;4;2;9;1;0;0;1;0;0;0;0;0;542051.4288;6061913.2698;9.652566579;54.702779351
1127;1;0;57;91;2018;3;13;7;3;2;6;0;0;1;0;0;0;0;0;582890.8363;6013025.9411;10.272480755;54.258461085
1128;1;0;53;28;2018;2;9;4;3;2;7;0;0;1;0;0;0;0;0;588284.744;5923915.994;10.329627218;53.456846825
1129;1;0;3;0;2018;3;15;4;3;5;3;0;1;1;0;0;0;0;1;612578.3296;5969972.0124;10.7120384;53.866004468
1130;1;0;3;0;2018;3;11;7;3;2;6;0;0;1;0;0;0;0;1;608003.0517;5967659.0915;10.641678161;53.846196301
1131;1;0;59;75;2018;2;11;3;3;5;3;0;0;1;0;0;0;0;0;535654.72;6041758.336;9.550854669;54.522149128
1132;1;0;2;0;2018;3;8;2;3;3;6;0;0;1;0;0;0;0;1;576761.3033;6019850.0173;10.1801594;54.320735617
