ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;LICHT;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2017;3;9;6;3;4;2;0;1;0;0;0;0;0;10.42466217;51.93454212
2;2017;3;6;6;3;9;1;0;0;0;0;1;2;2;10.57657344;52.6873841
2;2017;3;7;6;3;8;1;0;1;0;0;0;0;2;10.54582639;52.62076952
2;2017;3;7;6;2;8;1;0;1;0;0;0;0;2;10.50895127;52.37584598
2;2017;3;20;6;2;5;2;0;1;0;0;0;1;0;10.6280386;52.56490235
2;2017;3;9;6;3;4;2;1;1;0;0;0;0;1;10.49838332;52.45280962
2;2017;3;14;6;3;2;6;0;1;0;0;1;0;0;10.5079918;52.31657688
2;2017;3;15;5;3;2;6;0;1;0;0;1;0;1;8.036536516;52.28105742
2;2017;2;13;4;3;5;3;0;0;0;0;1;0;1;7.281034707;52.27122204
2;2017;2;6;4;3;5;3;0;1;0;0;0;2;1;7.478319237;52.65901167
2;2017;2;13;4;2;6;4;0;1;1;0;0;0;0;7.316025272;53.59829498
2;2017;2;7;4;2;5;3;0;1;0;1;0;1;1;7.72996586;53.42185415
2;2017;2;7;4;2;4;6;0;1;0;0;1;1;1;7.358561181;53.49645743
2;2017;2;16;4;3;4;6;0;1;0;0;1;0;1;8.189013196;52.60382224
2;2017;2;6;4;3;5;3;1;1;0;0;0;2;1;8.31453403;52.83876645
2;2017;2;16;4;3;8;1;0;1;0;0;0;1;1;7.949344985;52.78115587
2;2017;3;5;5;3;8;7;0;1;0;0;0;2;1;7.768256898;53.26415497
2;2017;2;12;4;3;4;2;0;1;0;0;0;0;1;8.15217882;52.8329808
2;2017;3;16;5;2;8;1;0;1;0;0;0;0;1;7.035807713;52.41811965
2;2017;2;7;4;3;4;6;0;1;0;0;0;1;1;8.167383927;53.39082053
2;2017;3;0;5;3;9;1;0;1;0;0;0;2;1;7.436954437;53.07957955
2;2017;3;17;5;3;2;6;0;1;0;0;0;1;1;7.729315394;53.11475572
